"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1992 <= Year >= 2022""]"																																													
	1994	9	1	15	15	53	4	1	7			0	"USA"	"N. CALIFORNIA"	40.402	-125.68	0.07	1		-3.3	-3																				1				
	1994	9	16	6	20	18.7	4	1	6.7			0	"TAIWAN"	"TAIWAN STRAIT"	22.528	118.711	0.24	3																1	1			400	3		2				2
	1994	9	19				4	6		2180		0	"PAPUA NEW GUINEA"	"PAPUA NEW GUINEA"	-4.238	152.214	3	3		1.2									1	30	1			4	1					86	4		1		
	1994	10	4	13	22	55.8	4	1	8.3			2	"RUSSIA"	"S. KURIL ISLANDS"	43.773	147.321	10.4	118		2.3	2.6								1	2	1	1	1	11	1			382	3		3				
	1994	10	8	21	44	7.2	4	1	6.8			0	"INDONESIA"	"HALMAHERA"	-1.258	127.98	3	1		1.6	1.5	1	1			52	2		2			500	3	1	1			52	2		2			500	3
	1994	10	9	7	55	39.5	4	1	7.3			0	"RUSSIA"	"S. KURIL ISLANDS"	43.905	147.916	0.2	2		-3.3	-3																								
	1994	11	4	4	12		4	8				0	"USA"	"SKAGWAY, AK"	59.5	-135.3	9	2		3.5	2.5	1	1					25	4					1	1					25	4				
	1994	11	14	19	15	30.6	4	1	7.1			3	"PHILIPPINES"	"PHILIPPINE ISLANDS"	13.525	121.067	7.3	56		2.9	2.1	81	2			225	3	3.7	2	797	3	3288	4	81	2			225	3	3.7	2	797	3	3288	4
	1994	12	28	12	19	23	4	1	7.8			0	"JAPAN"	"TOHUKU, JAPAN"	40.525	143.419	0.53	13																3	1			200	3	170.4	4				
	1994						3	8				0	"RUSSIA"	"KERCH STRAIT"	45.22	36.72	0.5	0																											
	1995	1	16	20	46	52.1	4	1	6.9			0	"JAPAN"	"KOBE, JAPAN"	34.583	135.018	0.34	2		-2.3	-2													5502	4			36896	4	100000	4	200000	4		
	1995	4	7	22	6	56.8	4	1	7.4			0	"SAMOA"	"SAMOA ISLANDS"	-15.199	-173.529	0.09	2		-1.7	-1.5																								
	1995	4	21	0	34	46	4	1	7.2			0	"PHILIPPINES"	"SAMAR ISLAND"	12.059	125.58	0.2	1		-3.3	-2																								
	1995	4	21	5	17	1.3	4	1	6.8			0	"PHILIPPINES"	"SAMAR ISLAND"	12.047	125.92	0.2	0		-2.3	-2																								
	1995	5	13	8	47	12.7	-1	1	6.6			0	"GREECE"	"GREECE"	40.149	21.695		1																											
	1995	5	14	11	33	21.1	4	3	6.9			0	"INDONESIA"	"TIMOR SEA"	-8.452	125.049	4	2		2	1.5	11	1			19	1		1		2			11	1			19	1		1		2		
	1995	5	16	20	12	44.2	4	1	7.7			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-23.008	169.9	0.5	9		-1.3	-2																								
	1995	5	27	13	3	52.6	4	1	7.1			0	"RUSSIA"	"SAKHALIN ISLAND"	52.629	142.827	0.1	2		-2.3	-2													1989	4			750	3	300	4				
	1995	6	15	0	15	48.7	4	3	6.5			1	"GREECE"	"GULF OF CORINTH: AIYION"	38.401	22.283	1	2		-1	3													26	1			60	2	660	4				
	1995	7	30	5	11	23.6	4	1	8			3	"CHILE"	"NORTHERN CHILE"	-23.34	-70.294	3	91		1.6	1.5							0.131	1		3			3	1			58	2	1.791	2	115	3		
	1995	8	16	10	27	28.6	4	1	7.7			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-5.799	154.178	0.28	2		-1	-1.5																				1				
	1995	9	14	14	4	31.4	3	1	7.4			0	"MEXICO"	"S. MEXICO"	16.779	-98.597	0.4	1		-1.3	-1													3	1			100	2		2				
	1995	10	9	15	35	53.9	4	1	8			1	"MEXICO"	"S. MEXICO"	19.055	-104.205	11	34		2.3	2.5	1	1						1		1			50	1			200	3		2		2		
	1995	10	18	10	37	26.3	4	1	7.1			0	"JAPAN"	"RYUKYU ISLANDS"	27.929	130.175	2.59	42		0.8	1.5								1									1	1		1				
	1995	10	19	2	41	36.1	4	3	6.8			0	"JAPAN"	"RYUKYU ISLANDS"	28.094	130.148	1.5	16		0.6	0.5																								
	1995	11	1	0	35	32.7	4	1	6.7			0	"CHILE"	"NORTHERN CHILE"	-28.906	-71.417	0.1	1		-3.3	-3																								
	1995	11	22	4	15	11.9	4	1	7.2			0	"EGYPT"	"GULF OF ELAT-AQABA"	28.826	34.799	4	7											2		1			11	1			47	1		2		1		
	1995	12	3	18	1	8.9	4	1	7.9			0	"RUSSIA"	"S. KURIL ISLANDS"	44.663	149.3	1.1	37		0.1	0.5																								
	1996	1	1	8	5	10.8	4	1	7.9			0	"INDONESIA"	"SULAWESI"	0.729	119.931	3.43	16		2.3	1.8	9	1			63	2	1.2	2	400	3			9	1			63	2	1.2	2	400	3		
	1996	1	1				4	8				0	"GREECE"	"W. CORINTH GULF"	38.367	22.083	2	1			2								1												1				
	1996	1	2	15	40		4	6		2921		2	"RUSSIA"	"KARYMSKOYE, KAMCHATKA, RUSSIA"	54.05	159.43	30	1											1												1				
	1996	2	17	5	59	30.5	4	1	8.2			1	"INDONESIA"	"IRIAN JAYA"	-0.891	136.952	7.7	115		2.9	1.8	110	3			100	2	4.2	2		4			164	3			432	2	4.2	2	5043	4		
	1996	2	21	12	51	1.3	4	1	7.5			1	"PERU"	"N. PERU"	-9.593	-79.587	5.04	59		2.3	1.9	12	1			57	2		1	15	1	22	1	12	1			57	2		1	15	1	22	1
	1996	2	25	3	8	15.8	4	1	7.1			0	"MEXICO"	"MEXICO"	15.978	-98.07	0.1	1		-3.3	-3																								
	1996	4	24	8	0		0	0				1	"SWITZERLAND"	"LAKE BRIENZ"	46.73	7.97	0.5	0																											
	1996	6	10	4	3	35.4	4	1	7.9			0	"USA"	"ANDREANOF ISLANDS, AK"	51.564	-177.632	0.51	64			0.5																								
	1996	6	10	15	24	56	4	1	7.3			0	"USA"	"ANDREANOF ISLANDS, AK"	51.478	-176.847	0.18	1		-3.3	-1.5																								
	1996	9	4	18	16	1.9	4	1	5.7	7539		0	"JAPAN"	"HONSHU ISLAND"	31.555	139.931	0.3	14		-2.3	-2																								
	1996	9	5	8	14	14.4	4	1	6.9			0	"CHILE"	"EASTER ISLAND REGION"	-22.118	-113.436	0.09	2		-3.3	-2.5																								
	1996	9	5	23	42	6	4	1	6.8			0	"TAIWAN"	"TAIWAN REGION"	21.898	121.498	0.11	3																											
	1996	10	18	10	50	20.8	4	1	6.6			0	"JAPAN"	"KYUSHU ISLAND"	30.568	131.093	0.2	1		-2.3	-2.5																								
	1996	10	19	14	44	40.7	4	1	6.7			0	"JAPAN"	"KYUSHU ISLAND"	31.885	131.468	0.55	6		0.1	0.5																				1				
	1996	11	12	16	59	44	4	1	7.7			0	"PERU"	"S. PERU"	-14.993	-75.675	0.4	3		-1.7	-1													14	1			560	3		4			4000	4
	1996	12	2	22	17	59.2	4	1	6.7			0	"JAPAN"	"SEA OF JAPAN"	31.789	131.314	0.2	4		-2.3	-2																								
	1997	3	12				3	0				0	"NEW CALEDONIA"	"NEW CALEDONIA"	-21.7	168	2	1																											
	1997	4	10				1	0				0	"HONDURAS"	"GULF OF FONSECA"	13.1	-87.6	15	1										0.3	1											0.3	1				
	1997	4	18				1	0				0	"AUSTRALIA"	"NORFOLK ISLAND"				1																											
	1997	4	21	12	2	26.4	4	1	7.7			0	"SOLOMON ISLANDS"	"SANTA CRUZ IS. VANUATU"	-12.584	166.676	3	41		-2.3	-2								1	7	1										1	7	1		
	1997	7	9	19	24	13.1	3	1	7			0	"VENEZUELA"	"CARIACO-CUMANA"	10.598	-63.486		1																81	2			522	3	81	4				
	1997	9	30	6	27	24.7	4	1	6.2			0	"JAPAN"	"S. OF HONSHU ISLAND"	31.959	141.878	0.03	1																											
	1997	10	14	9	53	18.1	4	1	7.7			0	"TONGA"	"TONGA ISLANDS"	-22.1	-176.77	0.1	1																											
	1997	12	5	11	26	54.6	4	1	7.8			0	"RUSSIA"	"KAMCHATKA"	54.841	162.035	8	18		0.6	0.5																								
	1997	12	14	3	30		3	8				0	"RUSSIA"	"KAMCHATKA"	54.841	162.035	8	1		3	2								1												1				
	1997	12	26	8			4	7		4808		0	"MONTSERRAT"	"WHITE RIVER VALLEY"	16.72	-62.18	3	1																											
	1998	3	19	18	30		4	8				0	"NORWAY"	"WESTERN NORWAY"	61.183	5.267	6	1			4								2				2								2				2
	1998	3	25	3	12	25	3	1	8.1			0	"ANTARCTICA"	"BALLENY ISLANDS"	-62.877	149.527	0.01	0																											
	1998	5	3	23	30	21.9	4	1	7.5			0	"TAIWAN"	"TAIWAN:  SOUTHEAST OF"	22.306	125.308	0.13	15																											
	1998	5	30	18	18	15	4	1	6.2			0	"JAPAN"	"SANRIKU"	39.027	143.441	0.01	0																											
	1998	7	17	8	49	16.1	4	3	7			20	"PAPUA NEW GUINEA"	"PAPUA NEW GUINEA"	-2.943	142.582	15.03	93				1636	4			1000	3		3		3			1636	4			1000	3		3		3		
	1998	11	29	14	10	31.9	2	1	7.7			0	"INDONESIA"	"TALIABU ISLAND"	-2.071	124.891	2.75	1			1								1		2			41	1			107	3	200	4	1000	3		
	1999	1	20				4	6		4708		1	"MONTSERRAT"	"SOUFRIERE HILLS VOLCANO"	16.722	-62.18	2	3																											
	1999	8	17	0	1	39.1	4	1	7.6			4	"TURKEY"	"KOCAELI, TURKEY"	40.76	29.97	2.52	26				155	3						2					17118	4			50000	4	20000	4			50000	4
	1999	9	13				4	8				1	"FRENCH POLYNESIA"	"FATU HIVA"	-10.52	-138.67	8	9											1				1								1				1
	1999	11	26	13	21	15.5	4	1	7.5			0	"VANUATU"	"VANUATU ISLANDS"	-16.423	168.214	6.6	53				5	1						3		3			10	1			100	2		3		3		
	2000	1	26				-1	9				0	"PHILIPPINES"	"TAWI-TAWI, PHILIPPINES"	5.1	120.15	20	4									3		3	300	3								3		3	300	3		
	2000	4	5	4	36	59.8	4	3	5.5			0	"GREECE"	"CRETE"	34.22	25.69	0.5	1																											
	2000	5	4	4	21	16.2	4	1	7.6			0	"INDONESIA"	"SULAWESI"	-1.105	123.573	6	2											3					46	1			264	3	30	4	10000	4		
	2000	6	18	14	44	13.3	4	1	7.9			0	"AUSTRALIA"	"SOUTH INDIAN OCEAN"	-13.802	97.453	0.3	1																											
	2000	7	1	7	1	55.5	4	1	6.1	5104		1	"JAPAN"	"KOZU-SHIMA ISLAND, HONSHU"	34.221	139.131	0.07	4																1	1				3		1				
	2000	7	15	1	30	30.5	4	1	6.1			0	"JAPAN"	"HONSHU: S COAST"	34.319	139.26	0.07	1																				10	1		1			20	1
	2000	7	30	12	25	45.5	4	1	6.5			0	"JAPAN"	"HONSHU: S COAST"	33.901	139.376	0.14	1																				1	1		1				
	2000	11	4	19	30	0	1	8				0	"USA"	"POINT ARGUELLO, S. CALIFORNIA"	34.5	-120.65	4.6	1											1												1				
	2000	11	16	4	54	55.9	4	1	8			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-4.001	152.327	3	9											2					2	1						2		3		
	2000	11	21	18	4	50	4	8				1	"GREENLAND"	"PAATUUT, GREENLAND"	70.25	-52.75	50	4											1		1										1		1		
	2000						3	8				0	"RUSSIA"	"KERCH STRAIT"	45.12	36.7		0																											
	2001	1	13	17	33	32.3	3	1	7.7			0	"EL SALVADOR"	"EL SALVADOR"	13.049	-88.66	0.25	1																844	3			4723	4	753	4	108226	4	169632	4
	2001	6	23	20	33	14.1	4	1	8.4			4	"PERU"	"S. PERU"	-16.265	-73.641	8.8	152				26	1	70	2				4	2000	4			103	3	138	3	2713	4	200	4	25399	4		
	2001	10	12	5	2	34	4	1	6.1			0	"CANADA"	"QUEEN CHARLOTTE ISLANDS"	52.63	-132.2	0.11	4																											
	2001	12	18	4	2	58.2	4	1	6.8			0	"TAIWAN"	"TAIWAN"	23.954	122.734	0.16	6																											
	2002	1	2	17	22	48.7	4	1	7.2			0	"VANUATU"	"VANUATU ISLANDS"	-17.6	167.856	3	2		-4.64	-4.14																		2		1				2
	2002	3	5	21	16	9.1	4	1	7.5			0	"PHILIPPINES"	"MINDANAO ISLAND, PHILIPPINES"	6.033	124.249	3	3											1					15	1			100	2	1.714	2			800	3
	2002	3	24				3	0				0	"GREECE"	"DODECANESE ISLANDS"	36.45	28.2	4	1											1												1				
	2002	3	26	3	45	48.7	3	1	6.4			0	"JAPAN"	"JAPAN"	23.346	124.09	0.05	3																											
	2002	3	31	6	52	50.4	4	1	7.1			0	"TAIWAN"	"TAIWAN"	24.279	122.179	0.2	11																5	1			200	3		2	100	2		
	2002	9	8	18	44	25.5	4	1	7.6			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-3.26	142.94	5.5	88		0.58	1.08								1		1			4	1			70	2		3		1	873	3
	2002	9	13	22	28	29.4	4	1	6.5			0	"INDIA"	"ANDAMAN ISLANDS, INDIA"	13.036	93.068		4											1				1	2	1						2	40	1		1
	2002	10	10	10	50	20.5	1	1	7.6			0	"INDONESIA"	"IRIAN JAYA"	-1.757	134.297	5	3		2.32	2.82													8	1			632	3		3	1000	3	900	3
	2002	11	4				0	8				0	"NEW ZEALAND"	"ALBERT TOWN"	-44.7	169.2		1																											
	2002	12	30	12	15		4	7		4703		10	"ITALY"	"STROMBOLI ISLAND"	38.789	15.213	10.9	41			5						2		2				2						2		2				2
	2003	1	20	8	43	6	4	1	7.3			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-10.491	160.77	2	2																											
